"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.000247190788448723,21,1695,3.63437712729748,"GO:0016192 vesicle-mediated transport "," http://amigo.geneontology.org/amigo/term/GO:0016192"," AP2B1  AP2S1  EXOC1  AP1B1  MIB1  AP3B2  RAB11FIP2  AP3B1  AP2M1  RIMS2  AP2A1  VTN  MACF1  AGAP2  SCYL1  KIF3B  DOCK1  PIP4K2A  BTBD8  MYO18A  DCTN1"
0.000313641384531371,5,52,28.2063609467456,"GO:0072583 clathrin-dependent endocytosis "," http://amigo.geneontology.org/amigo/term/GO:0072583"," AP2M1  AP2A1  AP2B1  AP2S1  BTBD8"
0.000313641384531371,4,20,58.6692307692308,"GO:0098884 postsynaptic neurotransmitter receptor internalization "," http://amigo.geneontology.org/amigo/term/GO:0098884"," AP2B1  AP2S1  AP2M1  AP2A1"
0.000313641384531371,8,220,10.6671328671329,"GO:0099003 vesicle-mediated transport in synapse "," http://amigo.geneontology.org/amigo/term/GO:0099003"," RIMS2  AP2B1  AP2S1  AP3B2  AP2M1  AP2A1  AP3B1  BTBD8"
0.000313641384531371,4,20,58.6692307692308,"GO:0140239 postsynaptic endocytosis "," http://amigo.geneontology.org/amigo/term/GO:0140239"," AP2B1  AP2S1  AP2M1  AP2A1"
0.00046844002068982,20,1795,3.26848082279837,"GO:0045184 establishment of protein localization "," http://amigo.geneontology.org/amigo/term/GO:0045184"," CSNK2A2  AP1B1  DNAJA1  MACF1  AP2B1  AP2S1  EXOC1  AP3B2  RAB11FIP2  NUP98  AP3B1  AGAP2  AP2M1  RIMS2  AP2A1  KIF3B  LIMS1  MYO18A  AFDN  PARD3"
0.000499335143648884,4,27,43.4586894586895,"GO:0099590 neurotransmitter receptor internalization "," http://amigo.geneontology.org/amigo/term/GO:0099590"," AP2B1  AP2S1  AP2M1  AP2A1"
0.000594981104882134,15,1071,4.10848954966602,"GO:0000902 cell morphogenesis "," http://amigo.geneontology.org/amigo/term/GO:0000902"," CYFIP2  NCKAP1  TAOK1  ILK  LIMS1  RAPGEF2  MACF1  RIMS2  DIP2B  AP3B1  ABI1  DOCK1  EPB41L3  BHLHB9  PARD3"
0.000970184424079833,18,1594,3.31256635459898,"GO:0007010 cytoskeleton organization "," http://amigo.geneontology.org/amigo/term/GO:0007010"," NCKAP1  EPB41L3  MAP7D1  MACF1  MAP7  CDC42BPA  PARD3  ADD3  SYNPO2  CDC42BPB  DCTN1  AGAP2  CYFIP2  ABI1  SLK  KIF3B  TAOK1  MYO18A"
0.0012279461877068,12,739,4.76340168627043,"GO:0034330 cell junction organization "," http://amigo.geneontology.org/amigo/term/GO:0034330"," TJP2  MACF1  LIMS1  SLK  CCM2  CAMKV  RAPGEF2  AFDN  DCTN1  EPB41L3  PARD3  BHLHB9"
0.00126137495135991,3,12,73.3365384615385,"GO:0090557 establishment of endothelial intestinal barrier "," http://amigo.geneontology.org/amigo/term/GO:0090557"," TJP2  RAPGEF2  AFDN"
0.00150217301923889,18,1680,3.14299450549451,"GO:0015031 protein transport "," http://amigo.geneontology.org/amigo/term/GO:0015031"," CSNK2A2  AP1B1  DNAJA1  MACF1  AP2B1  AP2S1  EXOC1  AP3B2  RAB11FIP2  NUP98  AP3B1  AGAP2  AP2M1  RIMS2  AP2A1  KIF3B  MYO18A  PARD3"
