"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0451513679759233,5,328,12.4569904181185,"GO:0051056 regulation of small GTPase mediated signal transduction "," http://amigo.geneontology.org/amigo/term/GO:0051056"," ARHGAP44  ADCYAP1R1  ARFGEF2  OPHN1  RAF1"
0.0587241992501223,4,208,15.7149725274725,"GO:0046578 regulation of Ras protein signal transduction "," http://amigo.geneontology.org/amigo/term/GO:0046578"," ARHGAP44  ARFGEF2  OPHN1  RAF1"
0.122830420094188,5,546,7.48332025117739,"GO:0007264 small GTPase mediated signal transduction "," http://amigo.geneontology.org/amigo/term/GO:0007264"," ARHGAP44  ADCYAP1R1  ARFGEF2  OPHN1  RAF1"
0.122830420094188,5,609,6.70918367346939,"GO:0030031 cell projection assembly "," http://amigo.geneontology.org/amigo/term/GO:0030031"," IFT140  ARHGAP44  INPPL1  OCRL  OPHN1"
0.122830420094188,3,127,19.3034308211474,"GO:0045471 response to ethanol "," http://amigo.geneontology.org/amigo/term/GO:0045471"," ADCYAP1R1  USP46  RGS7"
0.122830420094188,2,35,46.6959183673469,"GO:0046856 phosphatidylinositol dephosphorylation "," http://amigo.geneontology.org/amigo/term/GO:0046856"," OCRL  INPPL1"
0.122830420094188,5,594,6.8786075036075,"GO:0120031 plasma membrane bounded cell projection assembly "," http://amigo.geneontology.org/amigo/term/GO:0120031"," IFT140  ARHGAP44  INPPL1  OCRL  OPHN1"
0.129076071093302,4,381,8.5793025871766,"GO:0007265 Ras protein signal transduction "," http://amigo.geneontology.org/amigo/term/GO:0007265"," ARHGAP44  ARFGEF2  OPHN1  RAF1"
0.129076071093302,3,179,13.6957302474062,"GO:0031503 protein-containing complex localization "," http://amigo.geneontology.org/amigo/term/GO:0031503"," OPHN1  ARHGAP44  IFT140"
0.129076071093302,2,45,36.3190476190476,"GO:0071470 cellular response to osmotic stress "," http://amigo.geneontology.org/amigo/term/GO:0071470"," RPTOR  LETM1"
0.129076071093302,8,1857,3.52042464804985,"GO:1902531 regulation of intracellular signal transduction "," http://amigo.geneontology.org/amigo/term/GO:1902531"," MIB2  ARHGAP44  RAF1  RPTOR  ADCYAP1R1  ARFGEF2  CUL4A  OPHN1"
0.134634031917843,2,50,32.6871428571429,"GO:0046839 phospholipid dephosphorylation "," http://amigo.geneontology.org/amigo/term/GO:0046839"," OCRL  INPPL1"
0.134634031917843,2,49,33.3542274052478,"GO:1900087 positive regulation of G1/S transition of mitotic cell cycle "," http://amigo.geneontology.org/amigo/term/GO:1900087"," CUL4A  RPTOR"
0.15657245591984,2,92,17.764751552795,"GO:0006970 response to osmotic stress "," http://amigo.geneontology.org/amigo/term/GO:0006970"," RPTOR  LETM1"
0.15657245591984,4,585,5.58754578754579,"GO:0010498 proteasomal protein catabolic process "," http://amigo.geneontology.org/amigo/term/GO:0010498"," OPHN1  PSMA1  CUL4A  TRIP12"
0.15657245591984,1,5,163.435714285714,"GO:0033183 negative regulation of histone ubiquitination "," http://amigo.geneontology.org/amigo/term/GO:0033183"," TRIP12"
0.15657245591984,2,84,19.4566326530612,"GO:0033555 multicellular organismal response to stress "," http://amigo.geneontology.org/amigo/term/GO:0033555"," ADCYAP1R1  USP46"
0.15657245591984,2,73,22.3884540117417,"GO:0035019 somatic stem cell population maintenance "," http://amigo.geneontology.org/amigo/term/GO:0035019"," RAF1  CUL4A"
0.15657245591984,1,4,204.294642857143,"GO:0035021 negative regulation of Rac protein signal transduction "," http://amigo.geneontology.org/amigo/term/GO:0035021"," ARHGAP44"
0.15657245591984,2,92,17.764751552795,"GO:0035023 regulation of Rho protein signal transduction "," http://amigo.geneontology.org/amigo/term/GO:0035023"," OPHN1  RAF1"
0.15657245591984,2,57,28.6729323308271,"GO:0043647 inositol phosphate metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0043647"," OCRL  ADCYAP1R1"
0.15657245591984,5,910,4.48999215070644,"GO:0044257 cellular protein catabolic process "," http://amigo.geneontology.org/amigo/term/GO:0044257"," OPHN1  PSMA1  CUL4A  TRIP12  USP46"
0.15657245591984,3,302,8.11766792809839,"GO:0044262 cellular carbohydrate metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0044262"," OCRL  RPTOR  ADCYAP1R1"
0.15657245591984,2,75,21.7914285714286,"GO:0045913 positive regulation of carbohydrate metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0045913"," RPTOR  ADCYAP1R1"
0.15657245591984,1,3,272.392857142857,"GO:0051562 negative regulation of mitochondrial calcium ion concentration "," http://amigo.geneontology.org/amigo/term/GO:0051562"," LETM1"
0.15657245591984,5,880,4.64306006493506,"GO:0051603 proteolysis involved in cellular protein catabolic process "," http://amigo.geneontology.org/amigo/term/GO:0051603"," OPHN1  PSMA1  CUL4A  TRIP12  USP46"
0.15657245591984,1,3,272.392857142857,"GO:0071550 death-inducing signaling complex assembly "," http://amigo.geneontology.org/amigo/term/GO:0071550"," RAF1"
0.15657245591984,3,257,9.53904947192885,"GO:0097305 response to alcohol "," http://amigo.geneontology.org/amigo/term/GO:0097305"," ADCYAP1R1  USP46  RGS7"
0.15657245591984,2,67,24.3933901918977,"GO:0099072 regulation of postsynaptic membrane neurotransmitter receptor levels "," http://amigo.geneontology.org/amigo/term/GO:0099072"," OPHN1  ARHGAP44"
0.15657245591984,1,3,272.392857142857,"GO:0099152 regulation of neurotransmitter receptor transport endosome to postsynaptic membrane "," http://amigo.geneontology.org/amigo/term/GO:0099152"," ARHGAP44"
0.15657245591984,1,4,204.294642857143,"GO:1900069 regulation of cellular hyperosmotic salinity response "," http://amigo.geneontology.org/amigo/term/GO:1900069"," LETM1"
0.15657245591984,1,4,204.294642857143,"GO:1901000 regulation of response to salt stress "," http://amigo.geneontology.org/amigo/term/GO:1901000"," LETM1"
0.15657245591984,1,5,163.435714285714,"GO:1901314 regulation of histone H2A K63-linked ubiquitination "," http://amigo.geneontology.org/amigo/term/GO:1901314"," TRIP12"
0.15657245591984,1,5,163.435714285714,"GO:1901315 negative regulation of histone H2A K63-linked ubiquitination "," http://amigo.geneontology.org/amigo/term/GO:1901315"," TRIP12"
0.15657245591984,7,1752,3.26498287671233,"GO:1901700 response to oxygen-containing compound "," http://amigo.geneontology.org/amigo/term/GO:1901700"," RPTOR  ADCYAP1R1  USP46  RAF1  INPPL1  GPX4  RGS7"
0.15657245591984,2,64,25.5368303571429,"GO:1902808 positive regulation of cell cycle G1/S phase transition "," http://amigo.geneontology.org/amigo/term/GO:1902808"," CUL4A  RPTOR"
0.15657245591984,1,3,272.392857142857,"GO:1903292 protein localization to Golgi membrane "," http://amigo.geneontology.org/amigo/term/GO:1903292"," ARL5A"
0.15657245591984,1,4,204.294642857143,"GO:1905550 regulation of protein localization to endoplasmic reticulum "," http://amigo.geneontology.org/amigo/term/GO:1905550"," NACA"
0.15657245591984,1,5,163.435714285714,"GO:1905749 regulation of endosome to plasma membrane protein transport "," http://amigo.geneontology.org/amigo/term/GO:1905749"," ARHGAP44"
0.15657245591984,1,3,272.392857142857,"GO:1905857 positive regulation of pentose-phosphate shunt "," http://amigo.geneontology.org/amigo/term/GO:1905857"," RPTOR"
0.159741609094663,2,98,16.6771137026239,"GO:1901992 positive regulation of mitotic cell cycle phase transition "," http://amigo.geneontology.org/amigo/term/GO:1901992"," CUL4A  RPTOR"
0.159832691679096,4,627,5.21326042378674,"GO:0005975 carbohydrate metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0005975"," OCRL  RPTOR  ADCYAP1R1  INPPL1"
0.159832691679096,4,751,4.35248240441316,"GO:0006511 ubiquitin-dependent protein catabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006511"," CUL4A  TRIP12  PSMA1  USP46"
0.159832691679096,2,145,11.2714285714286,"GO:0006661 phosphatidylinositol biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0006661"," OCRL  INPPL1"
0.159832691679096,1,9,90.797619047619,"GO:0006930 substrate-dependent cell migration cell extension "," http://amigo.geneontology.org/amigo/term/GO:0006930"," OPHN1"
0.159832691679096,6,1594,3.07595447212762,"GO:0007010 cytoskeleton organization "," http://amigo.geneontology.org/amigo/term/GO:0007010"," ARHGAP44  OPHN1  STRIP2  RAF1  SORBS2  INPPL1"
0.159832691679096,2,147,11.1180758017493,"GO:0007266 Rho protein signal transduction "," http://amigo.geneontology.org/amigo/term/GO:0007266"," OPHN1  RAF1"
0.159832691679096,1,10,81.7178571428571,"GO:0008343 adult feeding behavior "," http://amigo.geneontology.org/amigo/term/GO:0008343"," USP46"
0.159832691679096,4,776,4.21226067746686,"GO:0008610 lipid biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0008610"," RPTOR  OCRL  INPPL1  GPX4"
0.159832691679096,5,1194,3.4220208183776,"GO:0009628 response to abiotic stimulus "," http://amigo.geneontology.org/amigo/term/GO:0009628"," CUL4A  RPTOR  RAF1  RGS7  LETM1"
0.159832691679096,1,12,68.0982142857143,"GO:0019372 lipoxygenase pathway "," http://amigo.geneontology.org/amigo/term/GO:0019372"," GPX4"
0.159832691679096,5,1083,3.77275425405619,"GO:0019637 organophosphate metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0019637"," OCRL  RPTOR  ADCYAP1R1  INPPL1  GPX4"
0.159832691679096,2,121,13.5070838252656,"GO:0019751 polyol metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0019751"," OCRL  ADCYAP1R1"
0.159832691679096,4,761,4.29528815468369,"GO:0019941 modification-dependent protein catabolic process "," http://amigo.geneontology.org/amigo/term/GO:0019941"," CUL4A  TRIP12  PSMA1  USP46"
0.159832691679096,1,10,81.7178571428571,"GO:0021683 cerebellar granular layer morphogenesis "," http://amigo.geneontology.org/amigo/term/GO:0021683"," OPHN1"
0.159832691679096,1,8,102.147321428571,"GO:0021684 cerebellar granular layer formation "," http://amigo.geneontology.org/amigo/term/GO:0021684"," OPHN1"
0.159832691679096,1,8,102.147321428571,"GO:0021707 cerebellar granule cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0021707"," OPHN1"
0.159832691679096,4,769,4.25060375255434,"GO:0030036 actin cytoskeleton organization "," http://amigo.geneontology.org/amigo/term/GO:0030036"," ARHGAP44  OPHN1  SORBS2  INPPL1"
0.159832691679096,5,1124,3.63513599389934,"GO:0030163 protein catabolic process "," http://amigo.geneontology.org/amigo/term/GO:0030163"," OPHN1  PSMA1  CUL4A  TRIP12  USP46"
0.159832691679096,1,8,102.147321428571,"GO:0030853 negative regulation of granulocyte differentiation "," http://amigo.geneontology.org/amigo/term/GO:0030853"," CUL4A"
0.159832691679096,2,123,13.287456445993,"GO:0032355 response to estradiol "," http://amigo.geneontology.org/amigo/term/GO:0032355"," ADCYAP1R1  GPX4"
0.159832691679096,2,149,10.9688398849473,"GO:0033135 regulation of peptidyl-serine phosphorylation "," http://amigo.geneontology.org/amigo/term/GO:0033135"," RAF1  RPTOR"
0.159832691679096,2,116,14.0892857142857,"GO:0033138 positive regulation of peptidyl-serine phosphorylation "," http://amigo.geneontology.org/amigo/term/GO:0033138"," RAF1  RPTOR"
0.159832691679096,1,9,90.797619047619,"GO:0033182 regulation of histone ubiquitination "," http://amigo.geneontology.org/amigo/term/GO:0033182"," TRIP12"
0.159832691679096,1,9,90.797619047619,"GO:0034214 protein hexamerization "," http://amigo.geneontology.org/amigo/term/GO:0034214"," LETM1"
0.159832691679096,3,410,5.97935540069686,"GO:0043087 regulation of GTPase activity "," http://amigo.geneontology.org/amigo/term/GO:0043087"," OCRL  RGS7  ARHGAP44"
0.159832691679096,1,6,136.196428571429,"GO:0043456 regulation of pentose-phosphate shunt "," http://amigo.geneontology.org/amigo/term/GO:0043456"," RPTOR"
0.159832691679096,4,772,4.2340858623242,"GO:0043632 modification-dependent macromolecule catabolic process "," http://amigo.geneontology.org/amigo/term/GO:0043632"," CUL4A  TRIP12  PSMA1  USP46"
0.159832691679096,2,134,12.1966950959488,"GO:0045931 positive regulation of mitotic cell cycle "," http://amigo.geneontology.org/amigo/term/GO:0045931"," CUL4A  RPTOR"
0.159832691679096,1,10,81.7178571428571,"GO:0048149 behavioral response to ethanol "," http://amigo.geneontology.org/amigo/term/GO:0048149"," USP46"
0.159832691679096,1,11,74.288961038961,"GO:0048630 skeletal muscle tissue growth "," http://amigo.geneontology.org/amigo/term/GO:0048630"," NACA"
0.159832691679096,1,9,90.797619047619,"GO:0048631 regulation of skeletal muscle tissue growth "," http://amigo.geneontology.org/amigo/term/GO:0048631"," NACA"
0.159832691679096,1,7,116.739795918367,"GO:0048633 positive regulation of skeletal muscle tissue growth "," http://amigo.geneontology.org/amigo/term/GO:0048633"," NACA"
0.159832691679096,5,1128,3.62224544072948,"GO:0051336 regulation of hydrolase activity "," http://amigo.geneontology.org/amigo/term/GO:0051336"," OCRL  RGS7  ARHGAP44  ADCYAP1R1  RAF1"
0.159832691679096,1,6,136.196428571429,"GO:0051490 negative regulation of filopodium assembly "," http://amigo.geneontology.org/amigo/term/GO:0051490"," ARHGAP44"
