"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.5657380419944e-36,36,260,24.1842630651791,"GO:0045333 cellular respiration "," http://amigo.geneontology.org/amigo/term/GO:0045333"," CS  IDH3G  ACO2  OGDH  NDUFS7  SLC25A12  SDHB  NDUFA10  SUCLA2  NDUFS2  SUCLG1  UQCRQ  IDH3A  NDUFV1  SLC25A22  NDUFA1  NDUFA9  UQCRC2  NDUFA12  NDUFA4  ETFB  ATP5PB  ETFA  MT-ATP8  DLD  DLST  SLC25A23  PDHA1  DLAT  STOML2  PDHB  IDH2  SLC25A51  TRAP1  NIPSNAP2  GPD2"
1.33634068360484e-34,43,532,14.1175888193767,"GO:0006091 generation of precursor metabolites and energy "," http://amigo.geneontology.org/amigo/term/GO:0006091"," CS  IDH3G  ENO1  ACO2  OGDH  GAPDH  NDUFS7  SLC25A12  SDHB  NDUFA10  SUCLA2  HK1  NDUFS2  SUCLG1  UQCRQ  IDH3A  NDUFV1  SLC25A22  ACAT1  NDUFA1  NDUFA9  UQCRC2  NDUFA12  NDUFA4  ETFB  ATP5PB  ETFA  MT-ATP8  OXCT1  DLD  DLST  SLC25A23  PDHA1  DLAT  STOML2  PDHB  IDH2  PHB2  SLC25A51  TRAP1  NIPSNAP2  GPD2  SLC25A4"
2.91328562066521e-32,36,352,17.8633761276891,"GO:0015980 energy derivation by oxidation of organic compounds "," http://amigo.geneontology.org/amigo/term/GO:0015980"," CS  IDH3G  ACO2  OGDH  NDUFS7  SLC25A12  SDHB  NDUFA10  SUCLA2  NDUFS2  SUCLG1  UQCRQ  IDH3A  NDUFV1  SLC25A22  NDUFA1  NDUFA9  UQCRC2  NDUFA12  NDUFA4  ETFB  ATP5PB  ETFA  MT-ATP8  DLD  DLST  SLC25A23  PDHA1  DLAT  STOML2  PDHB  IDH2  SLC25A51  TRAP1  NIPSNAP2  GPD2"
2.91328562066521e-32,65,1936,5.86423963787774,"GO:0044281 small molecule metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0044281"," IARS2  IDH3G  ENO1  ACAT1  OXCT1  HADHA  CAD  GSTZ1  GAPDH  GLS  ATP5PB  ALDH6A1  MTHFD1L  ACOT9  GOT2  ITPA  PDHA1  SUCLA2  HADHB  NDUFA9  ETFA  AK3  GLUD1  DLAT  HK1  GMPS  IDH3A  PDHB  IDH2  MCCC1  DLD  PDHX  PCCB  NDUFS7  SDHB  NDUFA1  NDUFA10  NDUFS2  SUCLG1  NDUFV1  PCCA  NDUFA12  MT-ATP8  ACO2  ETFB  OGDH  SFXN3  ALDH5A1  MGST3  CBR1  SFXN1  ACADSB  OPA1  CS  SLC1A3  GPD2  SLC25A12  DLST  ALDH1B1  MPC2  STOML2  SLC2A3  SLC25A1  SLC2A1  SLC25A10"
1.0932684960569e-30,30,214,24.4856245987016,"GO:0009060 aerobic respiration "," http://amigo.geneontology.org/amigo/term/GO:0009060"," CS  IDH3G  ACO2  OGDH  NDUFS7  SDHB  NDUFA10  SUCLA2  NDUFS2  SUCLG1  UQCRQ  IDH3A  NDUFV1  NDUFA1  NDUFA9  UQCRC2  NDUFA12  NDUFA4  ATP5PB  MT-ATP8  DLD  DLST  SLC25A23  PDHA1  DLAT  STOML2  PDHB  IDH2  SLC25A51  NIPSNAP2"
4.35626029449732e-24,33,472,12.2116865053694,"GO:0009259 ribonucleotide metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0009259"," ENO1  CAD  GAPDH  ATP5PB  ACOT9  PDHA1  SUCLA2  AK3  DLAT  HK1  GMPS  PDHB  DLD  PDHX  NDUFS7  SDHB  NDUFA1  NDUFA10  NDUFA9  NDUFS2  SUCLG1  NDUFV1  NDUFA12  MT-ATP8  ACAT1  OGDH  OPA1  SLC25A12  DLST  ITPA  MPC2  STOML2  SLC25A1"
4.35626029449732e-24,43,983,7.64044481374201,"GO:0019752 carboxylic acid metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0019752"," IARS2  IDH3G  ENO1  ACAT1  HADHA  CAD  GSTZ1  GAPDH  GLS  ALDH6A1  GOT2  PDHA1  HADHB  ETFA  GLUD1  DLAT  HK1  IDH3A  PDHB  IDH2  MCCC1  DLD  PDHX  PCCB  PCCA  ACO2  ETFB  OGDH  ALDH5A1  MTHFD1L  MGST3  ACADSB  CS  SLC1A3  SLC25A12  SDHB  DLST  SUCLA2  MPC2  GMPS  SLC2A3  SLC2A1  CBR1"
6.81885876327722e-24,33,482,11.9583320135567,"GO:0019693 ribose phosphate metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0019693"," ENO1  CAD  GAPDH  ATP5PB  ACOT9  PDHA1  SUCLA2  AK3  DLAT  HK1  GMPS  PDHB  DLD  PDHX  NDUFS7  SDHB  NDUFA1  NDUFA10  NDUFA9  NDUFS2  SUCLG1  NDUFV1  NDUFA12  MT-ATP8  ACAT1  OGDH  OPA1  SLC25A12  DLST  ITPA  MPC2  STOML2  SLC25A1"
9.63280498286374e-24,43,1009,7.44356516541962,"GO:0043436 oxoacid metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0043436"," IARS2  IDH3G  ENO1  ACAT1  HADHA  CAD  GSTZ1  GAPDH  GLS  ALDH6A1  GOT2  PDHA1  HADHB  ETFA  GLUD1  DLAT  HK1  IDH3A  PDHB  IDH2  MCCC1  DLD  PDHX  PCCB  PCCA  ACO2  ETFB  OGDH  ALDH5A1  MTHFD1L  MGST3  ACADSB  CS  SLC1A3  SLC25A12  SDHB  DLST  SUCLA2  MPC2  GMPS  SLC2A3  SLC2A1  CBR1"
1.31081531952912e-23,32,453,12.3383044335473,"GO:0009150 purine ribonucleotide metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0009150"," ENO1  GAPDH  ATP5PB  ACOT9  PDHA1  SUCLA2  AK3  DLAT  HK1  GMPS  PDHB  DLD  PDHX  NDUFS7  SDHB  NDUFA1  NDUFA10  NDUFA9  NDUFS2  SUCLG1  NDUFV1  NDUFA12  MT-ATP8  ACAT1  OGDH  OPA1  SLC25A12  DLST  ITPA  MPC2  STOML2  SLC25A1"
