"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.43297269489892e-11,31,1516,5.19870272647317,"GO:0006629 lipid metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006629"," DPM1  CYP46A1  HACD3  TECR  ABHD12  CDIPT  FAAH  ALG2  ACSL3  PIGT  ECHS1  SLC27A2  SCCPDH  MBOAT2  FADS1  PI4K2A  ACSL6  SLC27A4  DHCR7  PGAP1  PI4KA  CDS2  ERLIN1  ERLIN2  COMT  CYB5R3  AGPAT3  ATP1A1  OSBPL8  LRP1  CSNK1G2"
2.4990993872972e-11,23,776,7.53526632302405,"GO:0008610 lipid biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0008610"," DPM1  HACD3  TECR  CDIPT  PIGT  SLC27A2  SCCPDH  PI4K2A  ACSL6  DHCR7  PI4KA  CDS2  ERLIN1  ERLIN2  FADS1  CYB5R3  MBOAT2  AGPAT3  ATP1A1  ACSL3  CYP46A1  CSNK1G2  PGAP1"
5.09854298399424e-11,26,1103,5.99280749471139,"GO:0044255 cellular lipid metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0044255"," DPM1  HACD3  TECR  ABHD12  CDIPT  FAAH  ALG2  ACSL3  PIGT  ECHS1  SLC27A2  SCCPDH  MBOAT2  PI4K2A  ACSL6  SLC27A4  PGAP1  PI4KA  CDS2  FADS1  AGPAT3  ERLIN1  ERLIN2  OSBPL8  LRP1  CSNK1G2"
1.03428840612838e-07,27,1695,4.04973451327434,"GO:0016192 vesicle-mediated transport "," http://amigo.geneontology.org/amigo/term/GO:0016192"," RALA  ATP9A  VPS35  SCFD1  KDELR3  RAB35  RAP1A  RAB14  LRP1  NAPB  EXOC4  CSNK1G2  RAB6B  RAB8A  YIF1B  RHOG  EXOC3  RAB11B  PGAP1  DNM3  TFRC  RHOB  RAB2A  CLCN3  ARL8B  ATP2A2  ACSL3"
1.50240574376603e-06,26,1795,3.68248839368617,"GO:0045184 establishment of protein localization "," http://amigo.geneontology.org/amigo/term/GO:0045184"," SEC61A1  VPS35  SCFD1  RAB18  RAB14  NAPB  RAB6B  RAB8A  TFRC  EMC1  KDELR3  RAB2A  RAB35  EXOC4  ARL8B  ARL8A  RHOB  YIF1B  EXOC3  RAB11B  PGAP1  RALA  ACSL3  ADCY5  GNAS  LRP1"
1.6159657512249e-06,20,1061,4.7923342758404,"GO:0010243 response to organonitrogen compound "," http://amigo.geneontology.org/amigo/term/GO:0010243"," GNAO1  GNAS  GNA11  RAP1A  GNAL  RAB8A  VPS35  ERLIN1  ERLIN2  SLC27A4  PDE2A  RHOA  TMEM38A  DNAJC10  OSBPL8  GNAZ  ADCY5  PRKCQ  LRP1  GNAI1"
3.63891458258292e-06,6,40,38.135,"GO:0007212 dopamine receptor signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0007212"," GNAO1  GNAS  GNA11  GNAL  VPS35  ADCY5"
3.68099610811142e-06,13,439,7.5285497342445,"GO:0006644 phospholipid metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006644"," DPM1  ABHD12  CDIPT  PIGT  PI4K2A  PGAP1  PI4KA  CDS2  MBOAT2  AGPAT3  ACSL3  OSBPL8  FADS1"
3.68099610811142e-06,12,353,8.64249291784703,"GO:0006650 glycerophospholipid metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006650"," DPM1  ABHD12  CDIPT  PIGT  PI4K2A  PGAP1  PI4KA  CDS2  MBOAT2  AGPAT3  ACSL3  OSBPL8"
3.68099610811142e-06,11,293,9.54459613196815,"GO:0008654 phospholipid biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0008654"," DPM1  CDIPT  PIGT  PI4K2A  PI4KA  CDS2  MBOAT2  AGPAT3  ACSL3  FADS1  PGAP1"
3.68099610811142e-06,24,1680,3.63190476190476,"GO:0015031 protein transport "," http://amigo.geneontology.org/amigo/term/GO:0015031"," SEC61A1  VPS35  SCFD1  RAB18  RAB14  NAPB  RAB6B  RAB8A  TFRC  KDELR3  RAB2A  RAB35  EXOC4  ARL8B  ARL8A  RHOB  YIF1B  EXOC3  RAB11B  PGAP1  ACSL3  ADCY5  GNAS  LRP1"
3.68099610811142e-06,13,444,7.44376876876877,"GO:0046486 glycerolipid metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0046486"," DPM1  ABHD12  CDIPT  PIGT  PI4K2A  PGAP1  PI4KA  CDS2  MBOAT2  FAAH  AGPAT3  ACSL3  OSBPL8"
3.68099610811142e-06,16,715,5.68913752913753,"GO:0051668 localization within membrane "," http://amigo.geneontology.org/amigo/term/GO:0051668"," SEC61A1  RAB35  EXOC4  RAB8A  RALA  VPS35  RAP1A  RAB14  EMC1  CYP46A1  RAB11B  LRP1  ATP9A  ACSL3  RHOG  YIF1B"
